,PCA,Neighbors,Weights,P Integer,Mean CV Score,STD CV Score,Execution Time
353,21,149,uniform,1,0.7434260913964769,0.4367421871395458,222.37200355529785
354,19,155,uniform,2,0.7431707939749809,0.4368843839708366,209.92900013923645
355,18,101,distance,1,0.7592545315292315,0.4275360661763621,204.4880039691925
356,9,67,distance,2,0.7776359458769466,0.41583444008044007,133.06000065803528
357,14,61,distance,1,0.7692111309675772,0.4213375926298981,169.81200098991394
358,15,25,distance,2,0.7786571355629308,0.4151508169326689,175.53500366210938
359,11,23,distance,1,0.7781465407199387,0.41549308283716524,145.9480016231537
360,5,3,uniform,2,0.7452131733469491,0.4357413219068385,101.32599568367004
361,20,77,uniform,2,0.7628286954301762,0.4253481830905967,213.20199728012085
362,7,61,uniform,1,0.7725299974470258,0.41919852157602383,117.19499635696411
363,17,171,uniform,2,0.7398519274955323,0.4387152298207551,193.23499989509583
364,15,55,distance,2,0.7761041613479703,0.41685308213606137,176.7370035648346
365,9,19,uniform,2,0.7771253510339545,0.4161748908984148,131.77900457382202
366,1,195,distance,1,0.505488894562165,0.4999698711287366,76.10999989509583
